estado,cidade,tarifa_energia,irradiação_mensal,tamanho_sistema_kWp,consumo_mensal_kWh,custo_total_R$,geracao_estimativa_kWh,economia_mensal_R$,tipo_telhado,classe_consumo,possui_incentivo,ano_instalacao,payback_meses
RJ,Nova Friburgo,1.1,4.8,2.0,591.2,9325.48,230.4,253.44,inclinado,residencial,sim,2021,36.8
CE,Fortaleza,0.89,5.5,8.1,481.9,36682.73,1069.2,428.89,inclinado,rural,sim,2019,85.5
PE,Caruaru,0.87,5.3,8.7,393.6,36607.48,1106.6,342.43,inclinado,rural,não,2023,106.9
RJ,Nova Friburgo,1.1,4.8,9.8,987.9,42329.23,1129.0,1086.69,plano,residencial,não,2023,39.0
DF,Samambaia,0.92,5.0,2.9,879.4,13424.71,348.0,320.16,inclinado,rural,sim,2019,41.9
CE,Maracanaú,0.89,5.5,8.7,794.9,39009.64,1148.4,707.46,inclinado,residencial,não,2020,55.1
MG,Montes Claros,0.9,5.0,4.2,411.0,20995.13,504.0,369.9,plano,residencial,sim,2020,56.8
GO,Catalão,0.86,5.1,6.4,798.1,28412.41,783.4,673.69,plano,residencial,não,2019,42.2
CE,Juazeiro do Norte,0.89,5.5,5.7,909.4,25105.54,752.4,669.64,plano,rural,não,2022,37.5
DF,Planaltina,0.92,5.0,7.1,949.2,31003.75,852.0,783.84,plano,residencial,não,2020,39.6
MG,Juiz de Fora,0.9,5.0,5.0,652.1,22895.27,600.0,540.0,inclinado,rural,sim,2020,42.4
SC,Blumenau,0.83,4.4,2.4,620.0,11615.55,253.4,210.36,plano,rural,sim,2022,55.2
SP,Santos,0.85,4.5,3.4,859.7,15415.01,367.2,312.12,inclinado,residencial,não,2020,49.4
CE,Caucaia,0.89,5.5,4.9,427.9,20718.65,646.8,380.83,plano,residencial,não,2021,54.4
BA,Camaçari,0.88,5.2,2.5,607.0,11890.13,312.0,274.56,plano,residencial,sim,2023,43.3
RS,Pelotas,0.95,4.3,5.7,851.9,27760.85,588.2,558.83,inclinado,rural,não,2023,49.7
RJ,Campos dos Goytacazes,1.1,4.8,5.8,678.1,28366.08,668.2,734.98,inclinado,residencial,não,2023,38.6
PE,Petrolina,0.87,5.3,9.3,510.4,45907.34,1183.0,444.05,plano,residencial,sim,2023,103.4
CE,Sobral,0.89,5.5,8.0,656.3,34224.28,1056.0,584.11,inclinado,rural,sim,2019,58.6
SP,São José dos Campos,0.85,4.5,7.7,571.9,35776.63,831.6,486.11,inclinado,residencial,não,2021,73.6
PE,Jaboatão dos Guararapes,0.87,5.3,5.2,563.5,25710.49,661.4,490.25,inclinado,rural,não,2021,52.4
GO,Catalão,0.86,5.1,8.4,641.6,40000.14,1028.2,551.78,inclinado,rural,não,2023,72.5
SP,Campinas,0.85,4.5,6.3,721.6,26829.96,680.4,578.34,inclinado,residencial,não,2023,46.4
SC,Criciúma,0.83,4.4,8.5,714.8,38017.89,897.6,593.28,inclinado,rural,não,2020,64.1
MG,Belo Horizonte,0.9,5.0,3.7,347.9,16024.39,444.0,313.11,plano,residencial,não,2019,51.2
GO,Rio Verde,0.86,5.1,5.0,854.3,22648.5,612.0,526.32,inclinado,rural,não,2023,43.0
DF,Brasília,0.92,5.0,8.8,888.2,37342.9,1056.0,817.14,plano,residencial,não,2023,45.7
BA,Salvador,0.88,5.2,8.3,361.9,39026.7,1035.8,318.47,inclinado,rural,sim,2020,122.5
BA,Feira de Santana,0.88,5.2,2.9,563.9,14069.67,361.9,318.49,plano,residencial,não,2020,44.2
SC,Criciúma,0.83,4.4,9.5,291.3,41552.07,1003.2,241.78,plano,rural,não,2023,171.9
RS,Novo Hamburgo,0.95,4.3,3.7,559.0,18327.35,381.8,362.75,inclinado,residencial,sim,2019,50.5
SC,Florianópolis,0.83,4.4,2.6,788.5,12521.4,274.6,227.88,inclinado,residencial,não,2023,54.9
RJ,Nova Friburgo,1.1,4.8,9.4,596.7,44704.03,1082.9,656.37,plano,rural,sim,2022,68.1
RJ,Nova Friburgo,1.1,4.8,3.4,653.7,15080.12,391.7,430.85,plano,rural,não,2019,35.0
CE,Maracanaú,0.89,5.5,8.6,325.8,38771.13,1135.2,289.96,inclinado,residencial,sim,2023,133.7
RJ,Rio de Janeiro,1.1,4.8,6.8,362.2,33004.41,783.4,398.42,inclinado,residencial,sim,2022,82.8
DF,Samambaia,0.92,5.0,9.9,628.1,48920.16,1188.0,577.85,plano,residencial,não,2022,84.7
CE,Juazeiro do Norte,0.89,5.5,8.9,873.4,41796.32,1174.8,777.33,plano,residencial,não,2021,53.8
BA,Feira de Santana,0.88,5.2,4.7,442.4,20638.45,586.6,389.31,plano,residencial,não,2021,53.0
SC,Blumenau,0.83,4.4,6.1,708.4,28671.58,644.2,534.65,inclinado,rural,não,2022,53.6
RS,Pelotas,0.95,4.3,8.4,641.3,41034.52,866.9,609.23,plano,residencial,não,2020,67.4
RS,Caxias do Sul,0.95,4.3,7.7,913.8,34907.41,794.6,754.91,plano,residencial,sim,2021,46.2
MG,Montes Claros,0.9,5.0,4.6,848.4,20909.21,552.0,496.8,inclinado,rural,sim,2022,42.1
SC,Chapecó,0.83,4.4,2.3,814.9,10815.03,242.9,201.59,plano,residencial,não,2022,53.6
GO,Anápolis,0.86,5.1,8.6,523.6,40848.13,1052.6,450.3,inclinado,rural,não,2020,90.7
SP,Ribeirão Preto,0.85,4.5,2.5,742.5,12395.03,270.0,229.5,plano,residencial,sim,2023,54.0
CE,Juazeiro do Norte,0.89,5.5,4.4,654.1,21231.35,580.8,516.91,inclinado,rural,não,2023,41.1
CE,Caucaia,0.89,5.5,3.9,905.9,16739.18,514.8,458.17,inclinado,residencial,não,2023,36.5
CE,Juazeiro do Norte,0.89,5.5,2.0,345.9,9156.56,264.0,234.96,inclinado,rural,sim,2022,39.0
DF,Samambaia,0.92,5.0,8.8,324.3,43017.06,1056.0,298.36,inclinado,residencial,sim,2021,144.2
SC,Chapecó,0.83,4.4,6.1,420.6,27161.5,644.2,349.1,inclinado,residencial,não,2023,77.8
GO,Aparecida de Goiânia,0.86,5.1,7.1,691.1,30348.79,869.0,594.35,plano,residencial,não,2021,51.1
MG,Uberlândia,0.9,5.0,3.5,441.5,16946.68,420.0,378.0,inclinado,rural,não,2022,44.8
CE,Maracanaú,0.89,5.5,5.1,518.9,23404.19,673.2,461.82,plano,rural,sim,2019,50.7
GO,Anápolis,0.86,5.1,6.9,729.6,34183.54,844.6,627.46,plano,residencial,não,2019,54.5
SP,Santos,0.85,4.5,3.4,571.9,14823.96,367.2,312.12,plano,rural,sim,2022,47.5
GO,Anápolis,0.86,5.1,4.9,882.6,21379.14,599.8,515.79,plano,residencial,sim,2022,41.4
MG,Montes Claros,0.9,5.0,3.0,521.1,13632.94,360.0,324.0,inclinado,residencial,não,2020,42.1
RJ,Campos dos Goytacazes,1.1,4.8,9.6,534.3,45634.3,1105.9,587.73,inclinado,residencial,sim,2020,77.6
SP,Campinas,0.85,4.5,5.6,591.3,24571.82,604.8,502.6,plano,residencial,não,2019,48.9
CE,Caucaia,0.89,5.5,6.5,570.7,28825.28,858.0,507.92,inclinado,residencial,sim,2021,56.8
SP,Ribeirão Preto,0.85,4.5,4.6,369.8,22732.94,496.8,314.33,inclinado,residencial,sim,2019,72.3
DF,Ceilândia,0.92,5.0,6.7,563.2,28473.77,804.0,518.14,plano,residencial,não,2023,55.0
RS,Pelotas,0.95,4.3,8.9,890.4,38894.19,918.5,845.88,plano,rural,não,2023,46.0
RS,Novo Hamburgo,0.95,4.3,4.2,532.6,19238.33,433.4,411.77,inclinado,rural,sim,2021,46.7
SC,Florianópolis,0.83,4.4,3.3,777.4,14331.84,348.5,289.24,plano,rural,não,2021,49.5
BA,Camaçari,0.88,5.2,3.8,291.7,18974.84,474.2,256.7,plano,rural,sim,2020,73.9
GO,Aparecida de Goiânia,0.86,5.1,5.1,501.9,24443.88,624.2,431.63,plano,residencial,sim,2021,56.6
BA,Juazeiro,0.88,5.2,3.5,380.3,17058.68,436.8,334.66,plano,residencial,sim,2020,51.0
BA,Ilhéus,0.88,5.2,8.1,546.9,39718.17,1010.9,481.27,plano,residencial,não,2020,82.5
DF,Planaltina,0.92,5.0,9.8,929.3,43236.72,1176.0,854.96,inclinado,residencial,sim,2022,50.6
GO,Catalão,0.86,5.1,2.6,890.1,11294.32,318.2,273.69,inclinado,rural,não,2021,41.3
GO,Catalão,0.86,5.1,7.8,739.7,36538.62,954.7,636.14,plano,residencial,não,2019,57.4
MG,Uberlândia,0.9,5.0,8.3,596.9,36370.69,996.0,537.21,inclinado,rural,sim,2021,67.7
SC,Blumenau,0.83,4.4,3.2,579.4,15632.79,337.9,280.47,inclinado,residencial,sim,2021,55.7
BA,Camaçari,0.88,5.2,7.9,490.3,36206.15,985.9,431.46,inclinado,residencial,não,2023,83.9
RJ,Volta Redonda,1.1,4.8,7.9,489.7,37758.35,910.1,538.67,inclinado,residencial,sim,2022,70.1
SP,Sorocaba,0.85,4.5,2.9,940.3,14493.76,313.2,266.22,inclinado,rural,sim,2019,54.4
RS,Caxias do Sul,0.95,4.3,7.8,919.5,35811.13,805.0,764.71,plano,rural,não,2019,46.8
BA,Camaçari,0.88,5.2,6.8,809.3,33265.37,848.6,712.18,plano,rural,sim,2023,46.7
RJ,Niterói,1.1,4.8,8.7,571.1,41619.15,1002.2,628.21,plano,rural,não,2019,66.3
SC,Criciúma,0.83,4.4,7.8,741.2,35913.63,823.7,615.2,plano,residencial,sim,2022,58.4
RS,Novo Hamburgo,0.95,4.3,7.6,509.3,34155.23,784.3,483.83,plano,residencial,não,2019,70.6
MG,Betim,0.9,5.0,7.9,501.7,36194.12,948.0,451.53,inclinado,rural,não,2022,80.2
PE,Recife,0.87,5.3,6.9,627.0,29555.15,877.7,545.49,inclinado,residencial,sim,2022,54.2
MG,Belo Horizonte,0.9,5.0,8.0,840.0,39860.35,960.0,756.0,inclinado,residencial,não,2023,52.7
CE,Fortaleza,0.89,5.5,6.7,966.2,29943.82,884.4,787.12,plano,rural,não,2022,38.0
PE,Petrolina,0.87,5.3,2.4,819.5,11437.16,305.3,265.59,inclinado,rural,sim,2023,43.1
RJ,Volta Redonda,1.1,4.8,2.8,950.3,12984.62,322.6,354.82,plano,residencial,não,2020,36.6
GO,Anápolis,0.86,5.1,9.0,969.2,39104.54,1101.6,833.51,plano,residencial,sim,2021,46.9
BA,Camaçari,0.88,5.2,5.3,663.8,24120.34,661.4,582.07,plano,residencial,sim,2020,41.4
CE,Juazeiro do Norte,0.89,5.5,3.9,923.1,17539.56,514.8,458.17,inclinado,rural,não,2022,38.3
MG,Contagem,0.9,5.0,5.7,956.1,27148.93,684.0,615.6,inclinado,rural,não,2023,44.1
DF,Samambaia,0.92,5.0,2.2,811.8,9851.52,264.0,242.88,plano,rural,sim,2023,40.6
SP,Sorocaba,0.85,4.5,2.0,594.3,8568.45,216.0,183.6,inclinado,residencial,não,2022,46.7
RJ,Campos dos Goytacazes,1.1,4.8,3.1,497.4,15246.09,357.1,392.83,inclinado,residencial,sim,2023,38.8
SC,Criciúma,0.83,4.4,6.3,506.4,30954.38,665.3,420.31,inclinado,residencial,sim,2022,73.6
MG,Betim,0.9,5.0,3.5,976.4,16682.03,420.0,378.0,inclinado,residencial,sim,2021,44.1
PE,Recife,0.87,5.3,9.7,359.0,45112.38,1233.8,312.33,inclinado,rural,não,2020,144.4
GO,Rio Verde,0.86,5.1,3.9,557.2,17249.39,477.4,410.53,inclinado,rural,não,2020,42.0
RS,Santa Cruz do Sul,0.95,4.3,9.8,754.2,47002.78,1011.4,716.49,inclinado,rural,sim,2019,65.6
CE,Sobral,0.89,5.5,5.3,807.6,24715.4,699.6,622.64,inclinado,residencial,sim,2023,39.7
MG,Belo Horizonte,0.9,5.0,6.8,587.0,30588.66,816.0,528.3,plano,rural,não,2021,57.9
SC,Florianópolis,0.83,4.4,5.5,925.9,24142.06,580.8,482.06,plano,residencial,não,2019,50.1
SP,São Paulo,0.85,4.5,2.9,309.3,12462.75,313.2,262.91,plano,rural,não,2023,47.4
RJ,Nova Friburgo,1.1,4.8,6.9,536.9,32166.61,794.9,590.59,inclinado,residencial,sim,2022,54.5
BA,Salvador,0.88,5.2,9.8,350.9,48210.84,1223.0,308.79,inclinado,rural,sim,2022,156.1
CE,Juazeiro do Norte,0.89,5.5,8.0,518.4,38892.74,1056.0,461.38,plano,rural,sim,2020,84.3
MG,Juiz de Fora,0.9,5.0,2.8,655.1,13569.49,336.0,302.4,plano,residencial,sim,2021,44.9
GO,Aparecida de Goiânia,0.86,5.1,3.5,787.9,16925.02,428.4,368.42,plano,residencial,não,2022,45.9
SC,Florianópolis,0.83,4.4,6.9,790.0,30161.51,728.6,604.77,plano,residencial,sim,2020,49.9
MG,Contagem,0.9,5.0,6.6,829.4,28346.12,792.0,712.8,inclinado,residencial,não,2022,39.8
RJ,Campos dos Goytacazes,1.1,4.8,4.7,577.9,20798.42,541.4,595.58,plano,rural,não,2021,34.9
CE,Juazeiro do Norte,0.89,5.5,7.5,831.3,37052.35,990.0,739.86,plano,residencial,sim,2020,50.1
SC,Criciúma,0.83,4.4,2.7,917.6,11589.45,285.1,236.65,plano,residencial,não,2020,49.0
RS,Caxias do Sul,0.95,4.3,8.7,275.0,42573.05,897.8,261.25,inclinado,residencial,sim,2019,163.0
SC,Blumenau,0.83,4.4,6.0,990.3,25899.87,633.6,525.89,plano,residencial,não,2021,49.2
RJ,Campos dos Goytacazes,1.1,4.8,5.8,612.0,28953.62,668.2,673.2,plano,rural,sim,2023,43.0
RJ,Volta Redonda,1.1,4.8,5.6,625.0,27434.85,645.1,687.5,inclinado,residencial,sim,2023,39.9
SP,Sorocaba,0.85,4.5,5.2,530.7,22277.22,561.6,451.1,plano,rural,não,2019,49.4
RS,Novo Hamburgo,0.95,4.3,2.4,528.7,11958.67,247.7,235.3,plano,rural,sim,2020,50.8
RS,Porto Alegre,0.95,4.3,4.5,929.9,20952.64,464.4,441.18,plano,rural,não,2020,47.5
MG,Contagem,0.9,5.0,8.0,975.1,34108.03,960.0,864.0,plano,residencial,não,2020,39.5
MG,Belo Horizonte,0.9,5.0,4.2,291.2,19924.96,504.0,262.08,inclinado,residencial,não,2020,76.0
CE,Fortaleza,0.89,5.5,6.5,887.9,32479.05,858.0,763.62,inclinado,residencial,não,2022,42.5
CE,Maracanaú,0.89,5.5,3.7,254.2,16127.3,488.4,226.24,inclinado,rural,sim,2019,71.3
RS,Caxias do Sul,0.95,4.3,6.7,382.0,30281.54,691.4,362.9,inclinado,residencial,sim,2021,83.4
RJ,Rio de Janeiro,1.1,4.8,4.7,819.8,21510.52,541.4,595.58,plano,rural,sim,2021,36.1
RS,Novo Hamburgo,0.95,4.3,5.3,725.4,25912.01,547.0,519.61,plano,rural,não,2019,49.9
MG,Contagem,0.9,5.0,2.3,283.7,11386.25,276.0,248.4,inclinado,rural,sim,2019,45.8
SC,Chapecó,0.83,4.4,6.2,876.5,28967.81,654.7,543.42,plano,residencial,não,2021,53.3
RJ,Volta Redonda,1.1,4.8,6.8,352.2,31386.64,783.4,387.42,inclinado,residencial,sim,2019,81.0
GO,Rio Verde,0.86,5.1,2.5,916.3,11016.85,306.0,263.16,inclinado,rural,sim,2021,41.9
PE,Recife,0.87,5.3,7.4,281.9,36032.6,941.3,245.25,plano,rural,sim,2023,146.9
CE,Maracanaú,0.89,5.5,2.9,999.0,12301.46,382.8,340.69,inclinado,residencial,não,2023,36.1
RS,Santa Maria,0.95,4.3,2.7,925.4,12027.86,278.6,264.71,inclinado,residencial,sim,2023,45.4
PE,Olinda,0.87,5.3,9.3,287.1,43601.88,1183.0,249.78,plano,rural,sim,2022,174.6
DF,Samambaia,0.92,5.0,2.2,652.2,10221.34,264.0,242.88,plano,residencial,não,2023,42.1
BA,Camaçari,0.88,5.2,6.5,342.5,28105.29,811.2,301.4,inclinado,residencial,sim,2020,93.2
SP,São José dos Campos,0.85,4.5,7.3,576.7,33387.84,788.4,490.2,plano,residencial,não,2021,68.1
MG,Betim,0.9,5.0,5.3,456.9,22565.68,636.0,411.21,inclinado,rural,não,2023,54.9
GO,Anápolis,0.86,5.1,9.5,564.9,42483.03,1162.8,485.81,plano,residencial,não,2019,87.4
MG,Betim,0.9,5.0,5.5,676.5,24444.72,660.0,594.0,inclinado,rural,não,2020,41.2
CE,Sobral,0.89,5.5,4.7,508.2,22793.89,620.4,452.3,plano,residencial,não,2019,50.4
GO,Rio Verde,0.86,5.1,7.6,876.5,37929.57,930.2,753.79,plano,residencial,não,2023,50.3
CE,Caucaia,0.89,5.5,7.2,327.1,31914.25,950.4,291.12,plano,rural,sim,2022,109.6
MG,Contagem,0.9,5.0,3.1,846.5,14106.59,372.0,334.8,plano,residencial,não,2019,42.1
SC,Joinville,0.83,4.4,7.8,543.7,32914.42,823.7,451.27,plano,rural,sim,2019,72.9
PE,Jaboatão dos Guararapes,0.87,5.3,5.5,687.8,23183.99,699.6,598.39,inclinado,residencial,não,2023,38.7
RS,Santa Cruz do Sul,0.95,4.3,8.8,733.8,37886.31,908.2,697.11,inclinado,residencial,não,2019,54.3
SC,Criciúma,0.83,4.4,9.9,555.4,49467.88,1045.4,460.98,plano,rural,sim,2023,107.3
GO,Goiânia,0.86,5.1,4.8,477.1,21771.57,587.5,410.31,plano,residencial,sim,2020,53.1
GO,Anápolis,0.86,5.1,6.4,308.0,31697.95,783.4,264.88,plano,rural,sim,2023,119.7
RJ,Petrópolis,1.1,4.8,6.3,668.2,27071.69,725.8,735.02,inclinado,residencial,sim,2021,36.8
CE,Caucaia,0.89,5.5,2.8,831.1,12128.14,369.6,328.94,plano,rural,não,2023,36.9
MG,Montes Claros,0.9,5.0,2.1,351.4,9946.57,252.0,226.8,inclinado,residencial,não,2020,43.9
DF,Ceilândia,0.92,5.0,6.7,870.7,30612.92,804.0,739.68,plano,rural,sim,2022,41.4
BA,Feira de Santana,0.88,5.2,3.6,690.9,17545.46,449.3,395.37,plano,rural,sim,2022,44.4
SP,São Paulo,0.85,4.5,8.9,900.1,42770.56,961.2,765.09,inclinado,residencial,não,2022,55.9
BA,Juazeiro,0.88,5.2,6.5,473.6,28425.19,811.2,416.77,inclinado,rural,não,2023,68.2
CE,Sobral,0.89,5.5,5.6,679.5,24565.48,739.2,604.75,inclinado,rural,sim,2021,40.6
CE,Sobral,0.89,5.5,4.4,772.3,18562.79,580.8,516.91,plano,rural,não,2023,35.9
DF,Taguatinga,0.92,5.0,4.9,316.0,23729.54,588.0,290.72,inclinado,rural,não,2020,81.6
SP,Ribeirão Preto,0.85,4.5,9.6,468.1,42568.25,1036.8,397.88,inclinado,rural,sim,2020,107.0
GO,Aparecida de Goiânia,0.86,5.1,6.3,682.6,29336.72,771.1,587.04,inclinado,residencial,não,2019,50.0
CE,Fortaleza,0.89,5.5,6.1,904.0,27778.62,805.2,716.63,inclinado,residencial,sim,2019,38.8
DF,Ceilândia,0.92,5.0,8.3,870.2,37911.77,996.0,800.58,plano,rural,não,2022,47.4
GO,Rio Verde,0.86,5.1,2.5,367.2,10784.01,306.0,263.16,inclinado,residencial,sim,2023,41.0
CE,Fortaleza,0.89,5.5,8.6,398.0,42985.92,1135.2,354.22,inclinado,residencial,sim,2021,121.4
GO,Anápolis,0.86,5.1,5.5,426.7,24462.42,673.2,366.96,inclinado,rural,sim,2022,66.7
BA,Juazeiro,0.88,5.2,4.7,922.5,20595.52,586.6,516.17,inclinado,rural,sim,2019,39.9
CE,Caucaia,0.89,5.5,5.5,442.1,24772.23,726.0,393.47,plano,rural,sim,2020,63.0
RS,Pelotas,0.95,4.3,8.4,991.1,35962.01,866.9,823.54,plano,rural,não,2020,43.7
CE,Sobral,0.89,5.5,7.7,849.1,33585.97,1016.4,755.7,plano,residencial,sim,2023,44.4
SC,Criciúma,0.83,4.4,5.3,507.6,25793.15,559.7,421.31,plano,rural,não,2019,61.2
SP,Santos,0.85,4.5,8.2,346.5,37545.71,885.6,294.52,plano,rural,não,2022,127.5
RJ,Petrópolis,1.1,4.8,3.7,443.7,16481.26,426.2,468.86,plano,rural,não,2019,35.2
BA,Vitória da Conquista,0.88,5.2,3.9,287.2,18378.73,486.7,252.74,inclinado,residencial,não,2020,72.7
RS,Santa Cruz do Sul,0.95,4.3,2.7,328.4,11871.05,278.6,264.71,plano,residencial,sim,2022,44.8
DF,Planaltina,0.92,5.0,4.9,255.6,22884.44,588.0,235.15,inclinado,residencial,não,2022,97.3
SC,Criciúma,0.83,4.4,5.0,433.6,23240.72,528.0,359.89,inclinado,residencial,não,2020,64.6
BA,Juazeiro,0.88,5.2,3.4,254.8,14914.82,424.3,224.22,plano,rural,sim,2020,66.5
RJ,Campos dos Goytacazes,1.1,4.8,3.5,681.7,16555.53,403.2,443.52,plano,residencial,não,2022,37.3
BA,Vitória da Conquista,0.88,5.2,8.6,680.8,40935.92,1073.3,599.1,inclinado,rural,não,2023,68.3
SC,Joinville,0.83,4.4,4.5,628.0,20813.15,475.2,394.42,inclinado,rural,não,2023,52.8
PE,Caruaru,0.87,5.3,2.3,990.1,10017.0,292.6,254.53,inclinado,rural,não,2022,39.4
DF,Taguatinga,0.92,5.0,8.6,549.4,36373.28,1032.0,505.45,inclinado,rural,não,2022,72.0
SC,Criciúma,0.83,4.4,7.3,385.6,30906.84,770.9,320.05,inclinado,residencial,sim,2022,96.6
DF,Samambaia,0.92,5.0,9.9,348.2,44582.5,1188.0,320.34,plano,residencial,não,2020,139.2
RS,Porto Alegre,0.95,4.3,3.9,709.0,18234.71,402.5,382.36,inclinado,rural,não,2023,47.7
PE,Caruaru,0.87,5.3,7.7,571.7,37983.39,979.4,497.38,plano,residencial,não,2023,76.4
SP,Campinas,0.85,4.5,7.8,360.9,38375.16,842.4,306.76,inclinado,rural,sim,2020,125.1
SC,Chapecó,0.83,4.4,4.4,750.0,19389.99,464.6,385.65,inclinado,residencial,sim,2021,50.3
RJ,Rio de Janeiro,1.1,4.8,7.4,326.9,35256.67,852.5,359.59,inclinado,rural,não,2020,98.0
CE,Juazeiro do Norte,0.89,5.5,4.1,821.1,17295.51,541.2,481.67,plano,rural,sim,2022,35.9
MG,Belo Horizonte,0.9,5.0,4.3,531.5,20539.03,516.0,464.4,plano,rural,sim,2021,44.2
SP,Campinas,0.85,4.5,4.7,365.8,21075.62,507.6,310.93,inclinado,rural,não,2022,67.8
BA,Vitória da Conquista,0.88,5.2,9.1,455.8,38851.82,1135.7,401.1,plano,residencial,não,2023,96.9
SP,São José dos Campos,0.85,4.5,8.4,404.9,36252.68,907.2,344.16,plano,residencial,sim,2019,105.3
RS,Pelotas,0.95,4.3,2.1,637.7,8922.49,216.7,205.88,plano,rural,sim,2019,43.3
RJ,Niterói,1.1,4.8,5.6,837.8,25838.6,645.1,709.63,inclinado,rural,não,2023,36.4
GO,Anápolis,0.86,5.1,4.2,582.0,18104.67,514.1,442.11,inclinado,rural,sim,2021,41.0
SC,Joinville,0.83,4.4,9.3,493.0,39867.41,982.1,409.19,inclinado,residencial,não,2022,97.4
RS,Novo Hamburgo,0.95,4.3,4.8,676.2,21244.34,495.4,470.59,inclinado,rural,não,2022,45.1
BA,Camaçari,0.88,5.2,9.3,697.8,46125.49,1160.6,614.06,plano,residencial,não,2020,75.1
PE,Jaboatão dos Guararapes,0.87,5.3,7.6,425.3,34778.88,966.7,370.01,plano,rural,sim,2021,94.0
BA,Vitória da Conquista,0.88,5.2,6.1,260.3,29553.12,761.3,229.06,plano,rural,não,2020,129.0
PE,Caruaru,0.87,5.3,9.4,810.6,45559.76,1195.7,705.22,inclinado,rural,sim,2019,64.6
